Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
1,tt8041270,2023-12-01,2023-12-01,,Jurassic World: Dominion,Jurassic World: Dominion,https://www.imdb.com/title/tt8041270/,Movie,5.6,147,2022,"Action, Adventure, Sci-Fi, Thriller",2022-06-10,Colin Trevorrow,6,2022-07-24
2,tt9419884,2023-12-01,2023-12-01,,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/,Movie,6.9,126,2022,"Action, Adventure, Fantasy, Sci-Fi",2022-05-06,Sam Raimi,8,2022-05-11
3,tt10648342,2023-12-01,2023-12-01,,Thor: Love and Thunder,Thor: Love and Thunder,https://www.imdb.com/title/tt10648342/,Movie,6.2,118,2022,"Action, Adventure, Comedy, Fantasy, Romance, Sci-Fi",2022-07-08,Taika Waititi,6,2022-07-09
4,tt10298810,2023-12-01,2023-12-01,,Lightyear,Lightyear,https://www.imdb.com/title/tt10298810/,Movie,6.1,105,2022,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",2022-06-17,Angus MacLane,6,2022-07-25
5,tt5113044,2023-12-01,2023-12-01,,Minions: The Rise of Gru,Minions: The Rise of Gru,https://www.imdb.com/title/tt5113044/,Movie,6.5,87,2022,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",2022-07-01,"Kyle Balda, Brad Ableson, Jonathan del Val",,
6,tt1745960,2023-12-01,2023-12-01,,Top Gun: Maverick,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,Movie,8.2,130,2022,"Action, Drama",2022-05-27,Joseph Kosinski,10,2022-08-10
7,tt10954984,2023-12-01,2023-12-01,,Nope,Nope,https://www.imdb.com/title/tt10954984/,Movie,6.8,130,2022,"Horror, Mystery, Sci-Fi, Thriller",2022-07-22,Jordan Peele,5,2022-08-30
8,tt8912936,2023-12-01,2023-12-01,,DC League of Super-Pets,DC League of Super-Pets,https://www.imdb.com/title/tt8912936/,Movie,7.1,105,2022,"Animation, Action, Adventure, Comedy, Crime, Family, Fantasy, Sci-Fi",2022-07-29,"Jared Stern, Sam J. Levine",,
9,tt12593682,2023-12-01,2023-12-01,,Bullet Train,Bullet Train,https://www.imdb.com/title/tt12593682/,Movie,7.3,127,2022,"Action, Comedy, Thriller",2022-08-05,David Leitch,8,2022-08-10
10,tt3704428,2023-12-01,2023-12-01,,Elvis,Elvis,https://www.imdb.com/title/tt3704428/,Movie,7.3,159,2022,"Biography, Drama, Music",2022-06-24,Baz Luhrmann,4,2022-08-13
11,tt11703710,2023-12-01,2023-12-01,,Downton Abbey: A New Era,Downton Abbey: A New Era,https://www.imdb.com/title/tt11703710/,Movie,7.4,124,2022,"Drama, Romance",2022-05-20,Simon Curtis,,
12,tt7144666,2023-12-01,2023-12-01,,The Black Phone,The Black Phone,https://www.imdb.com/title/tt7144666/,Movie,6.9,103,2021,"Horror, Mystery, Thriller",2022-06-24,Scott Derrickson,7,2022-07-16
13,tt7466442,2023-12-01,2023-12-01,,The Bob's Burgers Movie,The Bob's Burgers Movie,https://www.imdb.com/title/tt7466442/,Movie,7.0,102,2022,"Animation, Adventure, Comedy, Crime, Drama, Musical, Mystery, Thriller",2022-05-27,"Loren Bouchard, Bernard Derriman",,
