Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
1,tt4154756,2023-12-01,2023-12-01,,Avengers: Infinity War,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,Movie,8.4,149,2018,"Action, Adventure, Sci-Fi",2018-04-27,"Anthony Russo, Joe Russo",8,2018-04-28
2,tt4881806,2023-12-01,2023-12-01,,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,https://www.imdb.com/title/tt4881806/,Movie,6.1,128,2018,"Action, Adventure, Sci-Fi",2018-06-22,J.A. Bayona,,
3,tt3778644,2023-12-01,2023-12-01,,Solo: A Star Wars Story,Solo: A Star Wars Story,https://www.imdb.com/title/tt3778644/,Movie,6.9,135,2018,"Action, Adventure, Sci-Fi",2018-05-25,Ron Howard,4,2018-05-26
4,tt5463162,2023-12-01,2023-12-01,,Deadpool 2,Deadpool 2,https://www.imdb.com/title/tt5463162/,Movie,7.6,119,2018,"Action, Adventure, Comedy, Sci-Fi",2018-05-18,David Leitch,8,2018-05-19
5,tt3606756,2023-12-01,2023-12-01,,Incredibles 2,Incredibles 2,https://www.imdb.com/title/tt3606756/,Movie,7.5,118,2018,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",2018-06-15,Brad Bird,5,2018-06-23
6,tt4912910,2023-12-01,2023-12-01,,Mission: Impossible - Fallout,Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/,Movie,7.7,147,2018,"Action, Adventure, Thriller",2018-07-27,Christopher McQuarrie,10,2022-06-16
7,tt5164214,2023-12-01,2023-12-01,,Ocean's Eight,Ocean's Eight,https://www.imdb.com/title/tt5164214/,Movie,6.3,110,2018,"Action, Comedy, Crime",2018-06-08,Gary Ross,6,2018-06-15
8,tt5095030,2023-12-01,2023-12-01,,Ant-Man and the Wasp,Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/,Movie,7.0,118,2018,"Action, Adventure, Comedy, Sci-Fi",2018-07-06,Peyton Reed,7,2018-07-08
9,tt5220122,2023-12-01,2023-12-01,,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,https://www.imdb.com/title/tt5220122/,Movie,6.3,97,2018,"Animation, Adventure, Comedy, Family, Fantasy, Horror",2018-07-13,Genndy Tartakovsky,,
10,tt5758778,2023-12-01,2023-12-01,,Skyscraper,Skyscraper,https://www.imdb.com/title/tt5758778/,Movie,5.8,102,2018,"Action, Adventure, Thriller",2018-07-13,Rawson Marshall Thurber,,
11,tt6911608,2023-12-01,2023-12-01,,Mamma Mia! Here We Go Again,Mamma Mia! Here We Go Again,https://www.imdb.com/title/tt6911608/,Movie,6.6,114,2018,"Comedy, Musical, Romance",2018-07-20,Ol Parker,,
12,tt3766354,2023-12-01,2023-12-01,,The Equalizer 2,The Equalizer 2,https://www.imdb.com/title/tt3766354/,Movie,6.7,121,2018,"Action, Crime, Thriller",2018-07-20,Antoine Fuqua,6,2018-07-24
13,tt4779682,2023-12-01,2023-12-01,,The Meg,The Meg,https://www.imdb.com/title/tt4779682/,Movie,5.7,113,2018,"Action, Horror, Sci-Fi, Thriller",2018-08-10,Jon Turteltaub,,
