Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt31036941,2025-04-19,2025-04-19,,"Jurassic World: Rebirth","Jurassic World: Rebirth",https://www.imdb.com/title/tt31036941/,Movie,,,2025,"Action, Adventure, Sci-Fi, Thriller",0,2025-07-02,"Gareth Edwards",,
2,tt5950044,2025-04-19,2025-04-19,,"Superman","Superman",https://www.imdb.com/title/tt5950044/,Movie,,,2025,"Action, Adventure, Fantasy, Sci-Fi",0,2025-07-11,"James Gunn",,
3,tt11655566,2025-04-19,2025-04-19,,"Lilo & Stitch","Lilo & Stitch",https://www.imdb.com/title/tt11655566/,Movie,,108,2025,"Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",0,2025-05-23,"Dean Fleischer Camp",,
4,tt10676052,2025-04-19,2025-04-19,,"The Fantastic Four: First Steps","The Fantastic Four: First Steps",https://www.imdb.com/title/tt10676052/,Movie,,,2025,"Action, Adventure, Sci-Fi",0,2025-07-25,"Matt Shakman",,
5,tt9603208,2025-04-19,2025-04-19,,"Mission: Impossible - The Final Reckoning","Mission: Impossible - The Final Reckoning",https://www.imdb.com/title/tt9603208/,Movie,,120,2025,"Action, Adventure, Thriller",0,2025-05-23,"Christopher McQuarrie",,
6,tt26743210,2025-04-19,2025-04-19,,"How to Train Your Dragon","How to Train Your Dragon",https://www.imdb.com/title/tt26743210/,Movie,,116,2025,"Action, Adventure, Comedy, Drama, Family, Fantasy",0,2025-06-13,"Dean DeBlois",,
7,tt20969586,2025-04-19,2025-04-19,,"Thunderbolts*","Thunderbolts*",https://www.imdb.com/title/tt20969586/,Movie,,126,2025,"Action, Adventure, Crime, Drama, Fantasy, Sci-Fi",0,2025-05-02,"Jake Schreier",,
8,tt16311594,2025-04-19,2025-04-19,,"F1","F1",https://www.imdb.com/title/tt16311594/,Movie,,,2025,"Drama, Sport",0,2025-06-27,"Joseph Kosinski",,
9,tt1674782,2025-04-19,2025-04-19,,"Karate Kid: Legends","Karate Kid: Legends",https://www.imdb.com/title/tt1674782/,Movie,,118,2025,"Action, Drama, Family, Sport",0,2025-05-30,"Jonathan Entwistle",,
10,tt30017619,2025-04-19,2025-04-19,,"The Bad Guys 2","The Bad Guys 2",https://www.imdb.com/title/tt30017619/,Movie,,,2025,"Animation, Action, Adventure, Comedy, Crime, Family, Mystery",0,2025-08-01,"Pierre Perifel, JP Sans",,
11,tt10548174,2025-04-19,2025-04-19,,"28 Years Later","28 Years Later",https://www.imdb.com/title/tt10548174/,Movie,,,2025,"Horror, Thriller",0,2025-06-20,"Danny Boyle",,
12,tt7181546,2025-04-19,2025-04-19,,"Ballerina","Ballerina",https://www.imdb.com/title/tt7181546/,Movie,,,2025,"Action, Thriller",0,2025-06-06,"Len Wiseman",,
13,tt4900148,2025-04-19,2025-04-19,,"Elio","Elio",https://www.imdb.com/title/tt4900148/,Movie,,,2025,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",0,2025-06-20,"Adrian Molina, Madeline Sharafian, Domee Shi",,
