Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
1,tt4912910,2023-12-01,2023-12-01,,Mission: Impossible - Fallout,Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/,Movie,7.7,147,2018,"Action, Adventure, Thriller",2018-07-27,Christopher McQuarrie,10,2022-06-16
2,tt6628394,2023-12-01,2023-12-01,,Bad Times at the El Royale,Bad Times at the El Royale,https://www.imdb.com/title/tt6628394/,Movie,7.1,141,2018,"Crime, Drama, Mystery, Thriller",2018-10-12,Drew Goddard,8,2019-01-04
3,tt4633694,2023-12-01,2023-12-01,,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,Movie,8.4,117,2018,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",2018-12-14,"Bob Persichetti, Peter Ramsey, Rodney Rothman",10,2020-12-13
4,tt6266538,2023-12-01,2023-12-01,,Vice,Vice,https://www.imdb.com/title/tt6266538/,Movie,7.2,132,2018,"Biography, Comedy, Drama, History",2018-12-25,Adam McKay,8,2018-12-14
5,tt5463162,2023-12-01,2023-12-01,,Deadpool 2,Deadpool 2,https://www.imdb.com/title/tt5463162/,Movie,7.6,119,2018,"Action, Adventure, Comedy, Sci-Fi",2018-05-18,David Leitch,8,2018-05-19
6,tt2704998,2023-12-01,2023-12-01,,Game Night,Game Night,https://www.imdb.com/title/tt2704998/,Movie,6.9,100,2018,"Action, Adventure, Comedy, Crime, Thriller",2018-02-23,"John Francis Daley, Jonathan Goldstein",8,2019-01-17
7,tt4218572,2023-12-01,2023-12-01,,Widows,Widows,https://www.imdb.com/title/tt4218572/,Movie,6.8,129,2018,"Crime, Drama, Thriller",2018-11-16,Steve McQueen,8,2018-11-29
8,tt4154756,2023-12-01,2023-12-01,,Avengers: Infinity War,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,Movie,8.4,149,2018,"Action, Adventure, Sci-Fi",2018-04-27,"Anthony Russo, Joe Russo",8,2018-04-28
9,tt7137380,2023-12-01,2023-12-01,,Destroyer,Destroyer,https://www.imdb.com/title/tt7137380/,Movie,6.2,121,2018,"Action, Crime, Drama, Mystery, Thriller",2018-12-27,Karyn Kusama,7,2019-01-15
10,tt7040874,2023-12-01,2023-12-01,,A Simple Favor,A Simple Favor,https://www.imdb.com/title/tt7040874/,Movie,6.8,117,2018,"Comedy, Crime, Mystery, Thriller",2018-09-14,Paul Feig,8,2019-01-17
