Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
1,tt17009710,2024-01-10,2024-01-10,,Anatomy of a Fall,Anatomie d'une chute,https://www.imdb.com/title/tt17009710/,Movie,7.7,151,2023,"Crime, Drama, Thriller",2024-03-22,Justine Triet,7,2023-10-23
2,tt21942866,2023-12-01,2023-12-01,,Dream Scenario,Dream Scenario,https://www.imdb.com/title/tt21942866/,Movie,6.9,102,2023,"Comedy, Drama, Fantasy, Horror",2023-11-22,Kristoffer Borgli,8,2023-11-30
3,tt13238346,2023-12-01,2023-12-01,,Past Lives,Past Lives,https://www.imdb.com/title/tt13238346/,Movie,7.8,105,2023,"Drama, Romance",2023-06-23,Celine Song,8,2023-01-28
4,tt5535276,2023-12-01,2023-12-01,,Maestro,Maestro,https://www.imdb.com/title/tt5535276/,Movie,6.5,129,2023,"Biography, Drama, History, Music, Romance",2023-12-20,Bradley Cooper,8,2023-10-16
5,tt9603212,2023-12-01,2023-12-01,,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One,https://www.imdb.com/title/tt9603212/,Movie,7.7,163,2023,"Action, Adventure, Thriller",2023-07-12,Christopher McQuarrie,8,2023-07-12
6,tt10366206,2023-12-01,2023-12-01,,John Wick: Chapter 4,John Wick: Chapter 4,https://www.imdb.com/title/tt10366206/,Movie,7.7,169,2023,"Action, Crime, Thriller",2023-03-24,Chad Stahelski,8,2023-03-25
7,tt4873118,2023-12-01,2023-12-01,,Guy Ritchie's the Covenant,The Covenant,https://www.imdb.com/title/tt4873118/,Movie,7.5,123,2023,"Action, Drama, Thriller, War",2023-04-21,Guy Ritchie,8,2023-05-11
8,tt11858890,2023-12-01,2023-12-01,,The Creator,The Creator,https://www.imdb.com/title/tt11858890/,Movie,6.7,133,2023,"Action, Adventure, Drama, Sci-Fi, Thriller",2023-09-29,Gareth Edwards,8,2023-10-03
9,tt15398776,2023-12-01,2023-12-01,,Oppenheimer,Oppenheimer,https://www.imdb.com/title/tt15398776/,Movie,8.3,180,2023,"Biography, Drama, History",2023-07-21,Christopher Nolan,8,2023-08-04
10,tt1136617,2024-01-10,2024-01-10,,The Killer,The Killer,https://www.imdb.com/title/tt1136617/,Movie,6.7,118,2023,"Action, Adventure, Crime, Drama, Mystery, Thriller",2023-11-10,David Fincher,7,2023-10-27
