Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1160419,2023-12-01,2023-12-01,,"Dune: Part One","Dune: Part One",https://www.imdb.com/title/tt1160419/,Movie,8.0,155,2021,"Action, Adventure, Drama, Sci-Fi",885187,2021-10-22,"Denis Villeneuve",9,2021-12-31
2,tt2382320,2023-12-01,2023-12-01,,"No Time to Die","No Time to Die",https://www.imdb.com/title/tt2382320/,Movie,7.3,163,2021,"Action, Adventure, Thriller",448367,2021-10-08,"Cary Joji Fukunaga",10,2023-01-08
3,tt10872600,2023-12-01,2023-12-01,,"Spider-Man: No Way Home","Spider-Man: No Way Home",https://www.imdb.com/title/tt10872600/,Movie,8.2,148,2021,"Action, Adventure, Fantasy, Sci-Fi",891314,2021-12-17,"Jon Watts",9,2021-12-20
4,tt13646976,2023-12-01,2023-12-01,,"Bring Your Own Brigade","Bring Your Own Brigade",https://www.imdb.com/title/tt13646976/,Movie,7.2,119,2021,"Documentary",363,2021-08-20,"Lucy Walker",9,2021-02-20
5,tt11003218,2023-12-01,2023-12-01,,"Pig","Pig",https://www.imdb.com/title/tt11003218/,Movie,6.9,92,2021,"Drama, Mystery",91051,2021-07-16,"Michael Sarnoski",8,2021-12-31
6,tt9376612,2023-12-01,2023-12-01,,"Shang-Chi and the Legend of the Ten Rings","Shang-Chi and the Legend of the Ten Rings",https://www.imdb.com/title/tt9376612/,Movie,7.4,132,2021,"Action, Adventure, Fantasy, Sci-Fi",440223,2021-09-03,"Destin Daniel Cretton",8,2021-09-12
7,tt6334354,2023-12-01,2023-12-01,,"The Suicide Squad","The Suicide Squad",https://www.imdb.com/title/tt6334354/,Movie,7.2,132,2021,"Action, Adventure, Comedy, Sci-Fi",414155,2021-08-05,"James Gunn",8,2021-08-06
8,tt11083552,2023-12-01,2023-12-01,,"Wrath of Man","Wrath of Man",https://www.imdb.com/title/tt11083552/,Movie,7.1,119,2021,"Action, Crime, Thriller",211071,2021-05-07,"Guy Ritchie",8,2021-05-30
9,tt8332922,2023-12-01,2023-12-01,,"A Quiet Place Part II","A Quiet Place Part II",https://www.imdb.com/title/tt8332922/,Movie,7.2,97,2020,"Drama, Horror, Sci-Fi, Thriller",279435,2021-05-28,"John Krasinski",8,2021-06-01
10,tt11525644,2023-12-01,2023-12-01,,"No Sudden Move","No Sudden Move",https://www.imdb.com/title/tt11525644/,Movie,6.4,115,2021,"Crime, Drama, Mystery, Thriller",41429,2021-07-01,"Steven Soderbergh",8,2021-12-31
