Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
1,tt3896198,2023-12-01,2023-12-01,,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,Movie,7.6,136,2017,"Action, Adventure, Comedy, Sci-Fi",2017-05-05,James Gunn,6,2017-05-14
2,tt3469046,2023-12-01,2023-12-01,,Despicable Me 3,Despicable Me 3,https://www.imdb.com/title/tt3469046/,Movie,6.2,89,2017,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",2017-06-30,"Kyle Balda, Pierre Coffin, Eric Guillon",,
3,tt2250912,2023-12-01,2023-12-01,,Spider-Man: Homecoming,Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/,Movie,7.4,133,2017,"Action, Adventure, Sci-Fi",2017-07-07,Jon Watts,9,2021-12-20
4,tt0451279,2023-12-01,2023-12-01,,Wonder Woman,Wonder Woman,https://www.imdb.com/title/tt0451279/,Movie,7.3,141,2017,"Action, Adventure, Fantasy, Sci-Fi, War",2017-06-02,Patty Jenkins,7,2017-06-04
5,tt3450958,2023-12-01,2023-12-01,,War for the Planet of the Apes,War for the Planet of the Apes,https://www.imdb.com/title/tt3450958/,Movie,7.4,140,2017,"Action, Adventure, Drama, Sci-Fi, Thriller",2017-07-14,Matt Reeves,6,2018-02-22
6,tt3371366,2023-12-01,2023-12-01,,Transformers: The Last Knight,Transformers: The Last Knight,https://www.imdb.com/title/tt3371366/,Movie,5.2,154,2017,"Action, Adventure, Sci-Fi",2017-06-21,Michael Bay,,
7,tt3606752,2023-12-01,2023-12-01,,Cars 3,Cars 3,https://www.imdb.com/title/tt3606752/,Movie,6.7,102,2017,"Animation, Adventure, Comedy, Family, Sport",2017-06-16,Brian Fee,,
8,tt1790809,2023-12-01,2023-12-01,,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,https://www.imdb.com/title/tt1790809/,Movie,6.5,129,2017,"Action, Adventure, Fantasy",2017-05-26,"Joachim Rønning, Espen Sandberg",,
9,tt5013056,2023-12-01,2023-12-01,,Dunkirk,Dunkirk,https://www.imdb.com/title/tt5013056/,Movie,7.8,106,2017,"Action, Drama, History, Thriller, War",2017-07-21,Christopher Nolan,8,2017-12-16
10,tt2345759,2023-12-01,2023-12-01,,The Mummy,The Mummy,https://www.imdb.com/title/tt2345759/,Movie,5.4,110,2017,"Action, Adventure, Fantasy, Horror, Thriller",2017-06-09,Alex Kurtzman,4,2017-06-26
11,tt2406566,2023-12-01,2023-12-01,,Atomic Blonde,Atomic Blonde,https://www.imdb.com/title/tt2406566/,Movie,6.7,115,2017,"Action, Thriller",2017-07-28,David Leitch,8,2017-08-01
12,tt2316204,2023-12-01,2023-12-01,,Alien: Covenant,Alien: Covenant,https://www.imdb.com/title/tt2316204/,Movie,6.4,122,2017,"Horror, Sci-Fi, Thriller",2017-05-19,Ridley Scott,5,2017-05-22
13,tt1469304,2023-12-01,2023-12-01,,Baywatch,Baywatch,https://www.imdb.com/title/tt1469304/,Movie,5.5,116,2017,"Action, Comedy, Crime",2017-05-25,Seth Gordon,5,2017-10-21
