Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
1,tt1392190,2023-12-01,2023-12-01,,Mad Max: Fury Road,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,Movie,8.1,120,2015,"Action, Adventure, Sci-Fi, Thriller",2015-05-15,George Miller,10,2016-01-11
2,tt3460252,2023-12-01,2023-12-01,,The Hateful Eight,The Hateful Eight,https://www.imdb.com/title/tt3460252/,Movie,7.8,168,2015,"Crime, Drama, Mystery, Thriller, Western",2015-12-30,Quentin Tarantino,9,2016-01-03
3,tt2488496,2023-12-01,2023-12-01,,Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,https://www.imdb.com/title/tt2488496/,Movie,7.8,138,2015,"Action, Adventure, Sci-Fi",2015-12-18,J.J. Abrams,9,2015-12-20
4,tt4178092,2023-12-01,2023-12-01,,The Gift,The Gift,https://www.imdb.com/title/tt4178092/,Movie,7.0,108,2015,"Drama, Mystery, Thriller",2015-08-07,Joel Edgerton,9,2019-04-13
5,tt3397884,2023-12-01,2023-12-01,,Sicario,Sicario,https://www.imdb.com/title/tt3397884/,Movie,7.7,121,2015,"Action, Crime, Drama, Mystery, Thriller",2015-10-02,Denis Villeneuve,8,2015-09-30
6,tt1596363,2023-12-01,2023-12-01,,The Big Short,The Big Short,https://www.imdb.com/title/tt1596363/,Movie,7.8,130,2015,"Biography, Comedy, Drama, History",2015-12-23,Adam McKay,8,2015-12-27
7,tt2381249,2023-12-01,2023-12-01,,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,https://www.imdb.com/title/tt2381249/,Movie,7.4,131,2015,"Action, Adventure, Thriller",2015-07-31,Christopher McQuarrie,9,2022-06-16
8,tt0470752,2023-12-01,2023-12-01,,Ex Machina,Ex Machina,https://www.imdb.com/title/tt0470752/,Movie,7.7,108,2014,"Drama, Sci-Fi, Thriller",2015-04-24,Alex Garland,9,2019-04-13
9,tt1663202,2023-12-01,2023-12-01,,The Revenant,The Revenant,https://www.imdb.com/title/tt1663202/,Movie,8.0,156,2015,"Action, Adventure, Drama, Western",2016-01-08,Alejandro G. Iñárritu,9,2016-10-03
10,tt3659388,2023-12-01,2023-12-01,,The Martian,The Martian,https://www.imdb.com/title/tt3659388/,Movie,8.0,144,2015,"Adventure, Drama, Sci-Fi",2015-10-02,Ridley Scott,8,2015-10-03
