Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt11301886,2025-01-10,2025-01-10,,"Rebel Ridge","Rebel Ridge",https://www.imdb.com/title/tt11301886/,Movie,6.8,131,2024,"Action, Crime, Drama, Thriller",77496,2024-09-06,"Jeremy Saulnier",9,2024-10-20
2,tt14577874,2025-01-10,2025-01-10,,"It's What's Inside","It's What's Inside",https://www.imdb.com/title/tt14577874/,Movie,6.6,103,2024,"Comedy, Mystery, Sci-Fi, Thriller",34977,2024-10-04,"Greg Jardin",8,2024-01-20
3,tt5177120,2025-01-10,2025-01-10,,"The Ministry of Ungentlemanly Warfare","The Ministry of Ungentlemanly Warfare",https://www.imdb.com/title/tt5177120/,Movie,6.8,122,2024,"Action, Comedy, War",123935,2024-04-19,"Guy Ritchie",8,2024-04-19
4,tt1684562,2025-01-10,2025-01-10,,"The Fall Guy","The Fall Guy",https://www.imdb.com/title/tt1684562/,Movie,6.9,126,2024,"Action, Comedy, Drama, Romance",196696,2024-05-03,"David Leitch",8,2024-05-02
5,tt15239678,2025-01-10,2025-01-10,,"Dune: Part Two","Dune: Part Two",https://www.imdb.com/title/tt15239678/,Movie,8.5,166,2024,"Action, Adventure, Drama, Sci-Fi",578204,2024-03-01,"Denis Villeneuve",9,2024-03-05
6,tt23468450,2025-01-10,2025-01-10,,"Longlegs","Longlegs",https://www.imdb.com/title/tt23468450/,Movie,6.6,101,2024,"Crime, Horror, Thriller",152339,2024-07-12,"Osgood Perkins",8,2024-08-31
7,tt11674730,2025-01-10,2025-01-10,,"The Last Stop in Yuma County","The Last Stop in Yuma County",https://www.imdb.com/title/tt11674730/,Movie,6.9,90,2023,"Crime, Drama, Thriller",14838,2024-05-10,"Francis Galluppi",8,2024-06-13
8,tt20215234,2025-01-10,2025-01-10,,"Conclave","Conclave",https://www.imdb.com/title/tt20215234/,Movie,7.4,120,2024,"Drama, Mystery, Thriller",61169,2024-10-25,"Edward Berger",8,2024-11-10
9,tt15552142,2025-01-10,2025-01-10,,"Caddo Lake","Caddo Lake",https://www.imdb.com/title/tt15552142/,Movie,6.8,103,2024,"Drama, Mystery, Thriller",34699,2024-10-10,"Logan George, Celine Held",8,2024-11-09
10,tt19637052,2025-01-10,2025-01-10,,"Love Lies Bleeding","Love Lies Bleeding",https://www.imdb.com/title/tt19637052/,Movie,6.6,104,2024,"Action, Adventure, Crime, Mystery, Romance, Thriller",51152,2024-05-03,"Rose Glass",7,2024-01-21
