Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt26581740,2026-01-07,2026-01-07,,"Weapons","Weapons",https://www.imdb.com/title/tt26581740/,Movie,7.5,128,2025,"Horror, Mystery",281850,2025-08-08,"Zach Cregger",9,2025-10-03
2,tt31193180,2026-01-07,2026-01-07,,"Sinners","Sinners",https://www.imdb.com/title/tt31193180/,Movie,7.5,137,2025,"Action, Drama, Horror, Music, Thriller",345405,2025-04-18,"Ryan Coogler",9,2025-11-15
3,tt6019206,2026-01-07,2026-01-07,,"Kill Bill: The Whole Bloody Affair","Kill Bill: The Whole Bloody Affair",https://www.imdb.com/title/tt6019206/,Movie,8.8,275,2006,"Action, Crime, Thriller",24753,2025-12-05,"Quentin Tarantino",10,2025-12-05
4,tt32916440,2026-01-07,2026-01-07,,"Marty Supreme","Marty Supreme",https://www.imdb.com/title/tt32916440/,Movie,8.3,149,2025,"Drama, Sport",24156,2026-01-23,"Josh Safdie",8,2025-12-31
5,tt31322753,2026-01-07,2026-01-07,,"Twinless","Twinless",https://www.imdb.com/title/tt31322753/,Movie,7.4,100,2025,"Comedy, Drama",8160,2025-09-05,"James Sweeney",8,2026-01-07
6,tt30988739,2026-01-07,2026-01-07,,"Black Bag","Black Bag",https://www.imdb.com/title/tt30988739/,Movie,6.7,93,2025,"Drama, Mystery, Romance, Thriller",84665,2025-03-14,"Steven Soderbergh",8,2025-11-15
7,tt31176520,2026-01-07,2026-01-07,,"Eddington","Eddington",https://www.imdb.com/title/tt31176520/,Movie,6.6,148,2025,"Comedy, Drama, Western",47394,2025-07-18,"Ari Aster",8,2025-10-04
8,tt16311594,2026-01-07,2026-01-07,,"F1: The Movie","F1",https://www.imdb.com/title/tt16311594/,Movie,7.7,155,2025,"Action, Drama, Sport",283678,2025-06-27,"Joseph Kosinski",8,2025-06-24
9,tt14364480,2026-01-07,2026-01-07,,"Wake Up Dead Man","Wake Up Dead Man",https://www.imdb.com/title/tt14364480/,Movie,7.4,144,2025,"Comedy, Crime, Drama, Mystery, Thriller",162976,2025-12-12,"Rian Johnson",8,2025-10-17
10,tt36751759,2026-01-07,2026-01-07,,"Wick Is Pain","Wick Is Pain",https://www.imdb.com/title/tt36751759/,Movie,7.6,126,2025,"Documentary",2041,2025-05-09,"Jeffrey Doe",8,2025-05-26
