Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
1,tt1392190,2023-12-01,2023-12-01,,Mad Max: Fury Road,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,Movie,8.1,120,2015,"Action, Adventure, Sci-Fi, Thriller",2015-05-15,George Miller,10,2016-01-11
2,tt0780504,2023-12-01,2023-12-01,,Drive,Drive,https://www.imdb.com/title/tt0780504/,Movie,7.8,100,2011,"Action, Drama",2011-09-16,Nicolas Winding Refn,10,2012-07-16
3,tt1856101,2023-12-01,2023-12-01,,Blade Runner 2049,Blade Runner 2049,https://www.imdb.com/title/tt1856101/,Movie,8.0,164,2017,"Action, Drama, Mystery, Sci-Fi, Thriller",2017-10-06,Denis Villeneuve,10,2019-08-20
4,tt1285016,2023-12-01,2023-12-01,,The Social Network,The Social Network,https://www.imdb.com/title/tt1285016/,Movie,7.8,120,2010,"Biography, Drama",2010-10-01,David Fincher,10,2012-07-16
5,tt1276104,2023-12-01,2023-12-01,,Looper,Looper,https://www.imdb.com/title/tt1276104/,Movie,7.4,119,2012,"Action, Drama, Sci-Fi, Thriller",2012-09-28,Rian Johnson,10,2014-02-26
6,tt2209418,2023-12-01,2023-12-01,,Before Midnight,Before Midnight,https://www.imdb.com/title/tt2209418/,Movie,7.9,109,2013,"Drama, Romance",2013-06-14,Richard Linklater,9,2014-02-26
7,tt4912910,2023-12-01,2023-12-01,,Mission: Impossible - Fallout,Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/,Movie,7.7,147,2018,"Action, Adventure, Thriller",2018-07-27,Christopher McQuarrie,10,2022-06-16
8,tt2562232,2023-12-01,2023-12-01,,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/,Movie,7.7,119,2014,"Comedy, Drama",2014-11-14,Alejandro G. Iñárritu,10,2015-08-06
9,tt1074638,2023-12-01,2023-12-01,,Skyfall,Skyfall,https://www.imdb.com/title/tt1074638/,Movie,7.8,143,2012,"Action, Adventure, Thriller",2012-11-09,Sam Mendes,10,2014-02-26
10,tt4425200,2023-12-01,2023-12-01,,John Wick: Chapter 2,John Wick: Chapter 2,https://www.imdb.com/title/tt4425200/,Movie,7.4,122,2017,"Action, Crime, Thriller",2017-02-10,Chad Stahelski,9,2017-02-17
