Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
1,tt6791350,2023-12-01,2023-12-01,,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,https://www.imdb.com/title/tt6791350/,Movie,7.9,150,2023,"Action, Adventure, Comedy, Sci-Fi",2023-05-05,James Gunn,7,2023-05-11
2,tt1462764,2023-12-01,2023-12-01,,Indiana Jones and the Dial of Destiny,Indiana Jones and the Dial of Destiny,https://www.imdb.com/title/tt1462764/,Movie,6.5,154,2023,"Action, Adventure, Sci-Fi",2023-06-30,James Mangold,7,2023-06-30
3,tt5971474,2023-12-01,2023-12-01,,The Little Mermaid,The Little Mermaid,https://www.imdb.com/title/tt5971474/,Movie,7.2,135,2023,"Adventure, Family, Fantasy, Musical, Romance",2023-05-26,Rob Marshall,,
4,tt9362722,2023-12-01,2023-12-01,,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/,Movie,8.6,140,2023,"Animation, Action, Adventure, Fantasy, Sci-Fi",2023-06-02,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",7,2023-06-11
5,tt9603212,2023-12-01,2023-12-01,,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One,https://www.imdb.com/title/tt9603212/,Movie,7.7,163,2023,"Action, Adventure, Thriller",2023-07-12,Christopher McQuarrie,8,2023-07-12
6,tt0439572,2023-12-01,2023-12-01,,The Flash,The Flash,https://www.imdb.com/title/tt0439572/,Movie,6.7,144,2023,"Action, Adventure, Fantasy, Sci-Fi",2023-06-16,Andy Muschietti,7,2023-06-20
7,tt5433140,2023-12-01,2023-12-01,,Fast X,Fast X,https://www.imdb.com/title/tt5433140/,Movie,5.7,141,2023,"Action, Adventure, Crime, Mystery, Thriller",2023-05-19,Louis Leterrier,6,2023-07-05
8,tt15789038,2023-12-01,2023-12-01,,Elemental,Elemental,https://www.imdb.com/title/tt15789038/,Movie,7.0,101,2023,"Animation, Adventure, Comedy, Family, Fantasy, Romance",2023-06-16,Peter Sohn,7,2023-08-21
9,tt1517268,2023-12-01,2023-12-01,,Barbie,Barbie,https://www.imdb.com/title/tt1517268/,Movie,6.8,114,2023,"Adventure, Comedy, Fantasy",2023-07-21,Greta Gerwig,8,2023-08-04
10,tt15398776,2023-12-01,2023-12-01,,Oppenheimer,Oppenheimer,https://www.imdb.com/title/tt15398776/,Movie,8.3,180,2023,"Biography, Drama, History",2023-07-21,Christopher Nolan,8,2023-08-04
11,tt1695843,2023-12-01,2023-12-01,,Haunted Mansion,Haunted Mansion,https://www.imdb.com/title/tt1695843/,Movie,6.0,123,2023,"Comedy, Drama, Family, Fantasy, Horror, Mystery",2023-07-28,Justin Simien,5,2023-12-28
12,tt8589698,2023-12-01,2023-12-01,,Teenage Mutant Ninja Turtles: Mutant Mayhem,Teenage Mutant Ninja Turtles: Mutant Mayhem,https://www.imdb.com/title/tt8589698/,Movie,7.2,99,2023,"Animation, Action, Adventure, Comedy, Crime, Family, Fantasy, Sci-Fi",2023-08-02,"Jeff Rowe, Kyler Spears",5,2023-09-06
13,tt5090568,2023-12-01,2023-12-01,,Transformers: Rise of the Beasts,Transformers: Rise of the Beasts,https://www.imdb.com/title/tt5090568/,Movie,6.0,127,2023,"Action, Adventure, Sci-Fi",2023-06-09,Steven Caple Jr.,4,2023-07-23
