Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0780504,2023-12-01,2023-12-01,,"Drive","Drive",https://www.imdb.com/title/tt0780504/,Movie,7.8,100,2011,"Action, Drama",710362,2011-09-16,"Nicolas Winding Refn",10,2012-07-16
2,tt1568346,2023-12-01,2023-12-01,,"The Girl with the Dragon Tattoo","The Girl with the Dragon Tattoo",https://www.imdb.com/title/tt1568346/,Movie,7.8,158,2011,"Crime, Drama, Mystery, Thriller",497590,2011-12-21,"David Fincher",10,2014-02-26
3,tt1441326,2023-12-01,2023-12-01,,"Martha Marcy May Marlene","Martha Marcy May Marlene",https://www.imdb.com/title/tt1441326/,Movie,6.8,102,2011,"Drama, Mystery, Thriller",56032,2011-12-21,"Sean Durkin",9,2012-07-16
4,tt1033575,2023-12-01,2023-12-01,,"The Descendants","The Descendants",https://www.imdb.com/title/tt1033575/,Movie,7.3,115,2011,"Comedy, Drama",253083,2011-12-09,"Alexander Payne",9,2012-07-16
5,tt1598778,2023-12-01,2023-12-01,,"Contagion","Contagion",https://www.imdb.com/title/tt1598778/,Movie,6.8,106,2011,"Drama, Thriller",317495,2011-09-09,"Steven Soderbergh",9,2014-02-26
6,tt1723811,2023-12-01,2023-12-01,,"Shame","Shame",https://www.imdb.com/title/tt1723811/,Movie,7.2,101,2011,"Drama",207019,2012-01-13,"Steve McQueen",8,2012-07-16
7,tt0478304,2023-12-01,2023-12-01,,"The Tree of Life","The Tree of Life",https://www.imdb.com/title/tt0478304/,Movie,6.8,139,2011,"Drama, Fantasy",184830,2011-05-17,"Terrence Malick",8,2012-07-16
8,tt1571222,2023-12-01,2023-12-01,,"A Dangerous Method","A Dangerous Method",https://www.imdb.com/title/tt1571222/,Movie,6.4,99,2011,"Biography, Drama, Romance, Thriller",108788,2011-11-10,"David Cronenberg",8,2012-07-16
9,tt1229238,2023-12-01,2023-12-01,,"Mission: Impossible - Ghost Protocol","Mission: Impossible - Ghost Protocol",https://www.imdb.com/title/tt1229238/,Movie,7.4,132,2011,"Action, Adventure, Thriller",530836,2011-12-21,"Brad Bird",9,2012-07-19
10,tt1124035,2023-12-01,2023-12-01,,"The Ides of March","The Ides of March",https://www.imdb.com/title/tt1124035/,Movie,7.1,101,2011,"Drama, Thriller",231649,2011-10-07,"George Clooney",7,2012-07-16
