Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt17279496,2025-01-10,2025-01-10,,"Civil War","Civil War",https://www.imdb.com/title/tt17279496/,Movie,7.0,109,2024,"Action, Adventure, Thriller",212714,2024-04-12,"Alex Garland",2,2024-04-12
2,tt30007864,2025-01-10,2025-01-10,,"The American Society of Magical Negroes","The American Society of Magical Negroes",https://www.imdb.com/title/tt30007864/,Movie,3.7,104,2024,"Comedy, Fantasy",11491,2024-03-15,"Kobi Libii",1,2024-03-15
3,tt10128846,2025-01-10,2025-01-10,,"Megalopolis","Megalopolis",https://www.imdb.com/title/tt10128846/,Movie,4.8,138,2024,"Drama, Fantasy, Sci-Fi",30556,2024-09-27,"Francis Ford Coppola",4,2024-11-12
4,tt20221436,2025-01-10,2025-01-10,,"Emilia Pérez","Emilia Pérez",https://www.imdb.com/title/tt20221436/,Movie,6.6,132,2024,"Comedy, Crime, Drama, Musical, Thriller",25116,2024-11-13,"Jacques Audiard",2,2024-12-16
5,tt11315808,2025-01-10,2025-01-10,,"Joker: Folie à Deux","Joker: Folie à Deux",https://www.imdb.com/title/tt11315808/,Movie,5.2,138,2024,"Drama, Musical, Thriller",143620,2024-10-04,"Todd Phillips",5,2024-11-04
6,tt21375602,2025-01-10,2025-01-10,,"Love Me","Love Me",https://www.imdb.com/title/tt21375602/,Movie,5.5,92,2024,"Drama, Sci-Fi",949,2025-01-31,"Andrew Zuchero, Sam Zuchero",2,2024-01-25
7,tt30180830,2025-01-10,2025-01-10,,"Sasquatch Sunset","Sasquatch Sunset",https://www.imdb.com/title/tt30180830/,Movie,5.4,88,2024,"Adventure, Comedy",4999,2024-04-19,"David Zellner, Nathan Zellner",1,2024-05-20
8,tt30319830,2025-01-10,2025-01-10,,"Skywalkers: A Love Story","Skywalkers: A Love Story",https://www.imdb.com/title/tt30319830/,Movie,7.1,100,2024,"Documentary",3248,2024-07-19,"Jeff Zimbalist, Maria Bukhonina",1,2024-01-27
9,tt11057302,2025-01-10,2025-01-10,,"Madame Web","Madame Web",https://www.imdb.com/title/tt11057302/,Movie,4.0,116,2024,"Action, Adventure, Sci-Fi, Thriller",95937,2024-02-14,"S.J. Clarkson",3,2024-03-17
10,tt23137904,2025-01-10,2025-01-10,,"Rebel Moon - Part Two: The Scargiver","Rebel Moon - Part Two: The Scargiver",https://www.imdb.com/title/tt23137904/,Movie,5.3,122,2024,"Action, Adventure, Drama, Fantasy, Sci-Fi",57063,2024-04-19,"Zack Snyder",2,2024-04-28
11,tt16366836,2025-01-10,2025-01-10,,"Venom: The Last Dance","Venom: The Last Dance",https://www.imdb.com/title/tt16366836/,Movie,6.0,110,2024,"Action, Adventure, Sci-Fi, Thriller",80056,2024-10-25,"Kelly Marcel",2,2024-12-16
12,tt15574270,2025-01-10,2025-01-10,,"I Saw the TV Glow","I Saw the TV Glow",https://www.imdb.com/title/tt15574270/,Movie,5.8,100,2024,"Drama, Horror",30524,2024-05-17,"Jane Schoenbrun",3,2024-06-24
13,tt14914430,2025-01-10,2025-01-10,,"Unfrosted","Unfrosted",https://www.imdb.com/title/tt14914430/,Movie,5.5,97,2024,"Biography, Comedy, History",33369,2024-05-03,"Jerry Seinfeld",3,2024-05-05
14,tt4978420,2025-01-10,2025-01-10,,"Borderlands","Borderlands",https://www.imdb.com/title/tt4978420/,Movie,4.6,101,2024,"Action, Adventure, Comedy, Sci-Fi, Thriller",38031,2024-08-09,"Eli Roth",4,2024-09-03
15,tt15009428,2025-01-10,2025-01-10,,"Argylle","Argylle",https://www.imdb.com/title/tt15009428/,Movie,5.6,139,2024,"Action, Comedy, Thriller",88765,2024-02-02,"Matthew Vaughn",3,2024-04-28
16,tt21942598,2025-01-10,2025-01-10,,"Freaky Tales","Freaky Tales",https://www.imdb.com/title/tt21942598/,Movie,6.8,106,2024,"Action, Adventure, Comedy, Crime, Drama",189,2024-01-18,"Anna Boden, Ryan Fleck",3,2024-01-19
17,tt26753003,2025-01-10,2025-01-10,,"Trap","Trap",https://www.imdb.com/title/tt26753003/,Movie,5.9,105,2024,"Crime, Horror, Mystery, Thriller",119000,2024-08-02,"M. Night Shyamalan",5,2024-08-04
18,tt17505010,2025-01-10,2025-01-10,,"Horizon: An American Saga - Chapter 1","Horizon: An American Saga - Chapter 1",https://www.imdb.com/title/tt17505010/,Movie,6.7,181,2024,"Drama, Western",34317,2024-06-28,"Kevin Costner",4,2024-07-19
19,tt9218128,2025-01-10,2025-01-10,,"Gladiator II","Gladiator II",https://www.imdb.com/title/tt9218128/,Movie,6.7,148,2024,"Action, Adventure, Drama",159803,2024-11-22,"Ridley Scott",6,2024-12-08
20,tt8999762,2025-01-10,2025-01-10,,"The Brutalist","The Brutalist",https://www.imdb.com/title/tt8999762/,Movie,8.1,215,2024,"Drama",3966,2025-01-24,"Brady Corbet",4,2025-01-10
