Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
tt28013708,2025-05-17,2025-05-17,,Task,Task,https://www.imdb.com/title/tt28013708/,TV Series,7.7,,2025,"Crime, Drama",2025-09-07,,,
tt9362736,2025-05-18,2025-05-18,,Die My Love,Die My Love,https://www.imdb.com/title/tt9362736/,Movie,6.2,118,2025,"Comedy, Drama, Thriller",2025-11-07,Lynne Ramsay,,
tt31688586,2025-05-18,2025-05-18,,Nouvelle Vague,Nouvelle Vague,https://www.imdb.com/title/tt31688586/,Movie,7.4,106,2025,"Biography, Comedy, Drama, History, Western",2025-11-14,Richard Linklater,,
tt32275943,2025-05-20,2025-05-20,,Alpha,Alpha,https://www.imdb.com/title/tt32275943/,Movie,5.9,128,2025,"Drama, Horror",2025-10,Julia Ducournau,,
tt30781967,2025-05-21,2025-05-21,,Eagles of the Republic,Eagles of the Republic,https://www.imdb.com/title/tt30781967/,Movie,6.6,129,2025,"Action, Drama, Thriller",2025-09-24,Tarik Saleh,,
tt8146842,2025-05-22,2025-05-22,,The Billion Dollar Spy,The Billion Dollar Spy,https://www.imdb.com/title/tt8146842/,Movie,,,,"Biography, Drama, Thriller",,Amma Asante,,
tt14173636,2025-05-22,2025-05-22,,The Invite,The Invite,https://www.imdb.com/title/tt14173636/,Movie,,,,Comedy,,Olivia Wilde,,
tt33455099,2025-05-24,2025-05-24,,The Mastermind,The Mastermind,https://www.imdb.com/title/tt33455099/,Movie,6.5,110,2025,Crime,2025-10-17,Kelly Reichardt,,
tt36491653,2025-05-26,2025-05-26,,It Was Just an Accident,Yek tasadef sadeh,https://www.imdb.com/title/tt36491653/,Movie,7.7,105,2025,"Action, Adventure, Crime, Drama, Mystery, Thriller",2025-10-15,Jafar Panahi,,
tt29002950,2025-05-26,2025-05-26,,Resurrection,Kuangye shidai,https://www.imdb.com/title/tt29002950/,Movie,7.0,160,2025,"Drama, Sci-Fi",2025-11-22,Bi Gan,,
tt27714581,2025-05-26,2025-05-26,,Sentimental Value,Affeksjonsverdi,https://www.imdb.com/title/tt27714581/,Movie,7.9,133,2025,Drama,2025-08-20,Joachim Trier,,
tt26598805,2025-05-30,2025-05-30,,Lazarus,Untitled Tim Van Patten/Liev Schreiber Project,https://www.imdb.com/title/tt26598805/,TV Series,,,,Drama,,,,
tt21103218,2025-06-08,2025-06-08,,The Lost Bus,The Lost Bus,https://www.imdb.com/title/tt21103218/,Movie,7.0,129,2025,"Biography, Drama, History, Thriller",2025-10-03,Paul Greengrass,,
tt27497165,2025-06-11,2025-06-11,,In Cold Light,In Cold Light,https://www.imdb.com/title/tt27497165/,Movie,7.0,96,2025,"Action, Crime, Drama, Thriller",2025-06-07,Maxime Giroux,,
tt33247023,2025-06-13,2025-06-13,,Splitsville,Splitsville,https://www.imdb.com/title/tt33247023/,Movie,6.6,104,2025,Comedy,2025-09-05,Michael Angelo Covino,,
tt3279350,2025-06-16,2025-06-16,,Blood on Snow,Blood on Snow,https://www.imdb.com/title/tt3279350/,Movie,,,,"Crime, Thriller",,Cary Joji Fukunaga,,
tt10374610,2025-06-17,2025-06-17,,The Long Walk,The Long Walk,https://www.imdb.com/title/tt10374610/,Movie,7.3,108,2025,Thriller,2025-09-12,Francis Lawrence,,
tt31923069,2025-06-19,2025-06-19,,Springsteen: Deliver Me from Nowhere,Springsteen: Deliver Me from Nowhere,https://www.imdb.com/title/tt31923069/,Movie,5.6,120,2025,"Biography, Drama, Music",2025-10-22,Scott Cooper,,
tt32376165,2025-06-19,2025-06-19,,A House of Dynamite,A House of Dynamite,https://www.imdb.com/title/tt32376165/,Movie,7.0,112,2025,"Drama, Thriller",2025-10-24,Kathryn Bigelow,,
tt22084616,2025-06-21,2025-06-21,,Spider-Man: Brand New Day,Spider-Man: Brand New Day,https://www.imdb.com/title/tt22084616/,Movie,,,2026,"Action, Adventure, Fantasy, Sci-Fi",2026-07-31,Destin Daniel Cretton,,
tt35866986,2025-06-29,2025-06-29,,How to Rob a Bank,How to Rob a Bank,https://www.imdb.com/title/tt35866986/,Movie,,,2026,"Action, Crime, Thriller",2026-09-04,David Leitch,,
tt15799524,2025-07-04,2025-07-04,,The History of Sound,The History of Sound,https://www.imdb.com/title/tt15799524/,Movie,6.9,128,2025,"Drama, History, Music, Romance",2025-09-12,Oliver Hermanus,,
tt8814476,2025-07-16,2025-07-16,,Supergirl,Supergirl,https://www.imdb.com/title/tt8814476/,Movie,,,2026,"Action, Adventure, Fantasy, Sci-Fi",2026-06-26,Craig Gillespie,,
tt22202452,2025-07-25,2025-07-25,,Pluribus,Pluribus,https://www.imdb.com/title/tt22202452/,TV Series,,,2025,"Drama, Sci-Fi",2025-11-07,,,
tt36629665,2025-07-27,2025-07-27,,Her Private Hell,Her Private Hell,https://www.imdb.com/title/tt36629665/,Movie,,,,"Crime, Drama, Mystery, Thriller",,Nicolas Winding Refn,,
tt33612209,2025-07-27,2025-07-27,,The Devil Wears Prada 2,The Devil Wears Prada 2,https://www.imdb.com/title/tt33612209/,Movie,,,2026,,2026-05-01,David Frankel,,
tt1756855,2025-07-27,2025-07-27,,Coyote vs. Acme,Coyote vs. Acme,https://www.imdb.com/title/tt1756855/,Movie,,,2026,"Animation, Adventure, Comedy, Family, Fantasy",2026-08-28,Dave Green,,
tt37171180,2025-07-29,2025-07-29,,Artificial,Artificial,https://www.imdb.com/title/tt37171180/,Movie,,,,"Comedy, Drama",,Luca Guadagnino,,
tt36977285,2025-08-10,2025-08-10,,Outer Dark,Outer Dark,https://www.imdb.com/title/tt36977285/,Movie,,,,,,László Nemes,,
tt35514120,2025-08-10,2025-08-10,,Werwulf,Werwulf,https://www.imdb.com/title/tt35514120/,Movie,,,2026,Horror,2026-12-25,Robert Eggers,,
tt35680104,2025-08-10,2025-08-10,,Good Sex,Good Sex,https://www.imdb.com/title/tt35680104/,Movie,,,,"Comedy, Romance",,Lena Dunham,,
tt37897288,2025-08-13,2025-08-13,,The Initiative,The Initiative,https://www.imdb.com/title/tt37897288/,Movie,,,,"Action, Thriller",,Doug Liman,,
tt34621966,2025-08-14,2025-08-14,,Megadoc,MegaDoc,https://www.imdb.com/title/tt34621966/,Movie,7.3,107,2025,Documentary,2025-08-29,Mike Figgis,,
tt32063098,2025-08-20,2025-08-20,,Ballad of a Small Player,Ballad of a Small Player,https://www.imdb.com/title/tt32063098/,Movie,6.0,101,2025,"Crime, Drama, Mystery, Thriller",2025-10-29,Edward Berger,,
tt19850008,2025-08-24,2025-08-24,,The Batman: Part II,The Batman Part II,https://www.imdb.com/title/tt19850008/,Movie,,,2027,"Action, Crime, Drama, Mystery",2027-10-01,Matt Reeves,,
tt31289994,2025-08-27,2025-08-27,,The Lowdown,The Lowdown,https://www.imdb.com/title/tt31289994/,TV Series,7.0,59,2025,"Biography, Drama, History",2025-09-23,,,
tt28083456,2025-08-29,2025-08-29,,Is This Thing On?,Is This Thing On?,https://www.imdb.com/title/tt28083456/,Movie,,124,2025,"Comedy, Drama",2025-12-19,Bradley Cooper,,
tt32386654,2025-08-31,2025-08-31,,The Wizard of the Kremlin,Le mage du Kremlin,https://www.imdb.com/title/tt32386654/,Movie,5.8,152,2025,"Drama, History, Thriller",2026-01-21,Olivier Assayas,,
tt34890576,2025-09-01,2025-09-01,,Clayface,Clayface,https://www.imdb.com/title/tt34890576/,Movie,,,2026,"Action, Adventure, Fantasy, Horror, Thriller",2026-09-11,James Watkins,,
tt13542714,2025-09-01,2025-09-01,,House of Guinness,House of Guinness,https://www.imdb.com/title/tt13542714/,TV Series,7.5,50,2025,"Biography, Drama, History",2025-09-25,,,
tt7798632,2025-09-06,2025-09-06,,Hamlet,Hamlet,https://www.imdb.com/title/tt7798632/,Movie,7.9,114,2025,Drama,2025-08-30,Aneil Karia,,
tt15181326,2025-09-06,2025-09-06,,Dead Man's Wire,Dead Man's Wire,https://www.imdb.com/title/tt15181326/,Movie,7.1,105,2025,"Biography, Crime, Drama, History",2025-10-18,Gus Van Sant,,
tt29567915,2025-09-08,2025-09-08,,Nuremberg,Nuremberg,https://www.imdb.com/title/tt29567915/,Movie,7.8,148,2025,"Biography, Drama, History, Thriller, War",2025-11-07,James Vanderbilt,,
tt31987295,2025-09-08,2025-09-08,,The Chair Company,The Chair Company,https://www.imdb.com/title/tt31987295/,TV Series,,,2025,Comedy,2025-10-12,,,
tt35222590,2025-09-13,2025-09-13,,The Exit 8,8-ban deguchi,https://www.imdb.com/title/tt35222590/,Movie,6.5,95,2025,"Action, Adventure, Horror, Mystery, Thriller",2025-08-29,Genki Kawamura,,
tt32323252,2025-09-13,2025-09-13,,Christy,Christy,https://www.imdb.com/title/tt32323252/,Movie,5.4,135,2025,"Biography, Drama, History, Sport",2025-11-07,David Michôd,,
tt23099476,2025-09-19,2025-09-30,,Wild Things,Wild Things,https://www.imdb.com/title/tt23099476/,TV Mini Series,,,,"Biography, Drama",,,,
tt33244668,2025-09-20,2025-09-20,,Anaconda,Anaconda,https://www.imdb.com/title/tt33244668/,Movie,,,2025,"Action, Adventure, Comedy, Horror, Thriller",2025-12-25,Tom Gormican,,
tt29644189,2025-09-21,2025-09-21,,Black Phone 2,Black Phone 2,https://www.imdb.com/title/tt29644189/,Movie,7.8,114,2025,Horror,2025-10-17,Scott Derrickson,,
tt14142060,2025-09-21,2025-09-21,,Rental Family,Rental Family,https://www.imdb.com/title/tt14142060/,Movie,7.7,103,2025,"Comedy, Drama",2025-11-21,Hikari,,
tt31844586,2025-09-21,2025-09-21,,Sisu: Road to Revenge,Sisu 2,https://www.imdb.com/title/tt31844586/,Movie,8.6,88,2025,"Action, War",2025-11-21,Jalmari Helander,,
tt26862142,2025-09-23,2025-09-23,,The Last Frontier,The Last Frontier,https://www.imdb.com/title/tt26862142/,TV Series,,,2025,"Action, Drama, Thriller",2025-10-10,,,
tt27304258,2025-09-23,2025-09-23,,The Savant,The Savant,https://www.imdb.com/title/tt27304258/,TV Series,,,2025,"Action, Crime",,,,
tt27427326,2025-09-29,2025-09-29,,Wayward,Wayward,https://www.imdb.com/title/tt27427326/,TV Mini Series,5.9,45,2025,"Drama, Mystery, Thriller",2025-09-25,,,
tt28690468,2025-09-29,2025-09-29,,Sound of Falling,In die Sonne schauen,https://www.imdb.com/title/tt28690468/,Movie,7.3,149,2025,"Drama, War",2025-08-28,Mascha Schilinski,,
tt36998986,2025-10-01,2025-10-01,,Mr. Scorsese,Mr. Scorsese,https://www.imdb.com/title/tt36998986/,TV Mini Series,,285,2025,"Documentary, Biography",2025-10-17,,,
tt32321317,2025-10-02,2025-10-02,,Pillion,Pillion,https://www.imdb.com/title/tt32321317/,Movie,6.7,107,2025,"Comedy, Drama, Romance",2025-08-30,Harry Lighton,,
tt26783625,2025-10-04,2025-10-04,,Bone Lake,Bone Lake,https://www.imdb.com/title/tt26783625/,Movie,6.1,94,2024,"Horror, Thriller",2025-10-03,Mercedes Bryce Morgan,,
tt23014818,2025-10-04,2025-10-04,,The Island,The Island,https://www.imdb.com/title/tt23014818/,Movie,,,,"Drama, Thriller",,Pawel Pawlikowski,,
