Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0361748,2023-12-01,2023-12-01,,"Inglourious Basterds","Inglourious Basterds",https://www.imdb.com/title/tt0361748/,Movie,8.4,153,2009,"Adventure, Drama, War",1599219,2009-08-21,"Quentin Tarantino",10,2011-10-02
2,tt1182345,2023-12-01,2023-12-01,,"Moon","Moon",https://www.imdb.com/title/tt1182345/,Movie,7.8,97,2009,"Drama, Mystery, Sci-Fi",378231,2009-07-10,"Duncan Jones",10,2012-07-16
3,tt0887912,2023-12-01,2023-12-01,,"The Hurt Locker","The Hurt Locker",https://www.imdb.com/title/tt0887912/,Movie,7.5,131,2008,"Drama, Thriller, War",475749,2009-07-31,"Kathryn Bigelow",9,2021-09-03
4,tt1193138,2023-12-01,2023-12-01,,"Up in the Air","Up in the Air",https://www.imdb.com/title/tt1193138/,Movie,7.4,109,2009,"Comedy, Drama, Romance",350549,2009-12-23,"Jason Reitman",9,2011-10-02
5,tt1049413,2023-12-01,2023-12-01,,"Up","Up",https://www.imdb.com/title/tt1049413/,Movie,8.3,96,2009,"Animation, Adventure, Comedy, Drama, Family",1134108,2009-05-29,"Pete Docter, Bob Peterson",9,2011-10-02
6,tt1022603,2023-12-01,2023-12-01,,"500 Days of Summer","(500) Days of Summer",https://www.imdb.com/title/tt1022603/,Movie,7.7,95,2009,"Comedy, Drama, Romance",563250,2009-08-07,"Marc Webb",8,2014-04-12
7,tt1091722,2023-12-01,2023-12-01,,"Adventureland","Adventureland",https://www.imdb.com/title/tt1091722/,Movie,6.8,107,2009,"Comedy, Drama, Romance",169920,2009-04-03,"Greg Mottola",8,2014-04-12
8,tt1152836,2023-12-01,2023-12-01,,"Public Enemies","Public Enemies",https://www.imdb.com/title/tt1152836/,Movie,6.9,140,2009,"Action, Biography, Crime, Drama, History",320620,2009-07-01,"Michael Mann",7,2012-07-16
9,tt1136608,2023-12-01,2023-12-01,,"District 9","District 9",https://www.imdb.com/title/tt1136608/,Movie,7.9,112,2009,"Action, Sci-Fi, Thriller",720221,2009-08-14,"Neill Blomkamp",7,2012-07-16
10,tt0499549,2023-12-01,2023-12-01,,"Avatar","Avatar",https://www.imdb.com/title/tt0499549/,Movie,7.9,162,2009,"Action, Adventure, Fantasy, Sci-Fi",1394216,2009-12-18,"James Cameron",7,2012-07-16
